,cluster
0,3
1,3
2,0
3,3
4,3
5,2
6,3
7,2
8,1
9,2
10,0
11,0
12,0
13,2
14,3
15,1
16,0
17,0
18,3
19,1
20,0
21,3
22,2
23,0
24,1
25,2
26,3
27,1
28,3
29,0
30,0
31,1
32,2
33,2
34,1
35,2
36,0
37,1
38,0
39,0
40,3
41,1
42,2
43,0
44,0
45,0
46,3
47,3
48,3
49,3
50,3
51,0
52,3
53,2
54,3
55,1
56,3
57,3
58,3
59,2
60,0
61,0
62,2
63,2
64,1
65,1
66,1
67,0
68,2
69,0
70,3
71,3
72,0
73,2
74,1
75,1
76,2
77,3
78,0
79,2
80,1
81,1
82,2
83,3
84,0
85,3
86,2
87,1
88,3
89,3
90,3
91,3
92,3
93,0
94,1
95,3
96,0
97,2
98,1
99,3
100,1
101,3
102,1
103,3
104,3
105,1
106,1
107,3
108,0
109,3
110,0
111,2
112,3
113,0
114,1
115,1
116,2
117,3
118,1
119,3
120,3
121,0
122,0
123,3
124,0
125,2
126,3
127,2
128,1
129,0
130,0
131,3
132,0
133,1
134,3
135,1
136,1
137,0
138,1
139,0
140,1
141,3
142,1
143,1
144,3
145,1
146,3
147,1
148,0
149,3
150,3
151,1
152,2
153,2
154,2
155,2
156,2
157,3
158,1
159,2
160,0
161,3
162,0
163,3
164,0
165,1
166,2
167,3
168,0
169,3
170,3
171,3
172,1
173,1
174,0
175,1
176,1
177,1
178,2
179,3
180,3
181,2
182,3
183,3
184,2
185,1
186,1
187,3
188,0
189,2
190,1
191,0
192,3
193,0
194,1
195,3
196,2
197,1
198,0
199,1
200,3
201,2
202,3
203,0
204,0
205,3
206,3
207,2
208,0
209,1
210,0
211,1
212,3
213,1
214,3
215,0
216,2
217,1
218,3
219,2
220,2
221,2
222,0
223,2
224,1
225,0
226,0
227,0
228,1
229,0
230,2
231,3
232,3
233,0
234,2
235,3
236,3
237,3
238,3
239,3
240,3
241,1
242,3
243,1
244,3
245,1
246,2
247,3
248,2
249,1
250,2
251,2
252,0
253,3
254,3
255,3
256,1
257,1
258,0
259,3
260,3
261,3
262,1
263,2
264,3
265,3
266,2
267,1
268,2
269,1
270,1
271,0
272,1
273,3
274,1
275,0
276,0
277,0
278,3
279,0
280,0
281,1
282,0
283,3
284,0
285,0
286,0
287,0
288,2
289,3
290,2
291,0
292,0
293,2
294,1
295,3
296,0
297,3
298,0
299,0
300,0
301,2
302,0
303,3
304,1
305,3
306,3
307,3
308,2
309,1
310,0
311,3
312,0
313,3
314,3
315,0
316,3
317,3
318,0
319,0
320,3
321,2
322,2
323,3
324,0
325,1
326,2
327,1
328,0
329,1
330,0
331,1
332,1
333,0
334,1
335,1
336,3
337,2
338,3
339,1
340,0
341,3
342,0
343,1
344,3
345,3
346,2
347,3
348,1
349,2
350,3
351,1
352,0
353,2
354,2
355,3
356,1
357,3
358,3
359,3
360,2
361,1
362,3
363,3
364,2
365,3
366,1
367,1
368,3
369,2
370,1
371,3
372,0
373,3
374,2
375,0
376,1
377,1
378,3
379,1
380,3
381,3
382,0
383,1
384,3
385,2
386,1
387,1
388,3
389,3
390,0
391,2
392,3
393,1
394,2
395,2
396,0
397,3
398,1
399,2
400,1
401,2
402,1
403,2
404,1
405,3
406,0
407,1
408,3
409,0
410,3
411,2
412,0
413,0
414,0
415,0
416,1
417,3
418,3
419,3
420,2
421,1
422,2
423,1
424,1
425,3
426,1
427,3
428,3
429,3
430,3
431,1
432,0
433,0
434,1
435,1
436,2
437,2
438,0
439,2
440,3
441,1
442,1
443,3
444,3
445,1
446,2
447,3
448,2
449,1
450,0
451,3
452,1
453,0
454,0
455,1
456,0
457,0
458,2
459,3
460,2
461,1
462,2
463,2
464,3
465,0
466,2
467,1
468,1
469,2
470,1
471,2
472,1
473,1
474,1
475,1
476,1
477,3
478,2
479,3
480,3
481,3
482,0
483,1
484,0
485,0
486,2
487,0
488,0
489,2
490,1
491,2
492,3
493,3
494,3
495,1
496,1
497,2
498,3
499,3
500,1
501,0
502,0
503,1
504,2
505,1
506,1
507,1
508,0
509,0
510,1
511,2
512,1
513,3
514,3
515,2
516,0
517,3
518,3
519,2
520,3
521,3
522,0
523,2
524,2
525,2
526,1
527,0
528,3
529,2
530,0
531,3
532,0
533,2
534,2
535,3
536,1
537,2
538,0
539,0
540,2
541,2
542,0
543,2
544,3
545,3
546,0
547,0
548,1
549,3
550,3
551,1
552,1
553,2
554,2
555,1
556,1
557,2
558,2
559,3
560,1
561,3
562,1
563,3
564,3
565,0
566,3
567,2
568,1
569,1
570,0
571,3
572,3
573,2
574,1
575,1
576,0
577,1
578,0
579,0
580,0
581,2
582,0
583,3
584,2
585,3
586,0
587,0
588,1
589,0
590,2
591,3
592,1
593,1
594,1
595,3
596,1
597,2
598,1
599,1
600,1
601,3
602,2
603,0
604,0
605,1
606,3
607,2
608,3
609,3
610,1
611,1
612,3
613,3
614,2
615,1
616,0
617,2
618,0
619,1
620,1
621,1
622,3
623,3
624,3
625,1
626,2
627,0
628,3
629,0
630,3
631,2
632,0
633,3
634,3
635,3
636,0
637,3
638,0
639,2
640,1
641,0
642,3
643,3
644,1
645,0
646,0
647,2
648,1
649,2
650,2
651,3
652,0
653,2
654,3
655,0
656,3
657,3
658,3
659,1
660,1
661,3
662,2
663,3
664,0
665,3
666,2
667,2
668,3
669,0
670,1
671,1
672,1
673,2
674,2
675,1
676,3
677,1
678,0
679,3
680,3
681,2
682,0
683,3
684,3
685,2
686,0
687,3
688,3
689,2
690,2
691,2
692,3
693,3
694,3
695,3
696,0
697,1
698,3
699,1
700,2
701,1
702,0
703,3
704,0
705,3
706,0
707,2
708,2
709,3
710,2
711,0
712,2
713,2
714,3
715,1
716,3
717,1
718,3
719,2
720,2
721,0
722,0
723,1
724,2
725,1
726,3
727,3
728,0
729,3
730,1
731,2
732,0
733,1
734,0
735,3
736,0
737,0
738,2
739,2
740,3
741,2
742,0
743,3
744,3
745,1
746,0
747,3
748,0
749,1
750,2
751,1
752,0
753,3
754,2
755,2
756,3
757,0
758,3
759,3
760,1
761,1
762,3
763,3
764,3
765,3
766,2
767,3
768,3
769,1
770,3
771,3
772,3
773,0
774,3
775,2
776,2
777,2
778,3
779,3
780,3
781,2
782,1
783,1
784,3
785,2
786,3
787,1
788,3
789,2
790,3
791,3
792,2
793,0
794,0
795,2
796,3
797,1
798,1
799,3
800,2
801,2
802,0
803,3
804,2
805,1
806,2
807,3
808,2
809,0
810,3
811,0
812,1
813,3
814,1
815,3
816,0
817,2
818,0
819,3
820,2
821,0
822,2
823,3
824,2
825,3
826,2
827,3
828,1
829,1
830,0
831,2
832,0
833,1
834,1
835,3
836,1
837,0
838,3
839,3
840,3
841,0
842,3
843,3
844,1
845,0
846,0
847,2
848,0
849,0
850,0
851,0
852,2
853,3
854,2
855,2
856,3
857,1
858,2
859,3
860,3
861,3
862,3
863,0
864,3
865,3
866,2
867,1
868,3
869,0
870,2
871,0
872,0
873,0
874,3
875,3
876,1
877,0
878,3
879,3
880,3
881,0
